"Date","Price","Open","High","Low","Vol.","Change %"
"04/16/2024","27,901.90","27,887.50","28,017.65","27,841.60","","-0.55%"
"04/15/2024","28,056.45","28,122.85","28,250.25","27,953.20","","-1.01%"
"04/12/2024","28,342.80","28,577.05","28,605.15","28,321.25","","-1.01%"
"04/10/2024","28,631.65","28,607.40","28,667.65","28,515.70","","0.46%"
"04/09/2024","28,500.20","28,673.35","28,673.35","28,447.10","","-0.16%"
"04/08/2024","28,545.70","28,451.85","28,567.15","28,387.90","","0.74%"
"04/05/2024","28,336.80","28,351.10","28,369.25","28,265.55","","-0.17%"
"04/04/2024","28,385.80","28,541.70","28,547.45","28,154.25","","0.10%"
"04/03/2024","28,357.70","28,352.65","28,459.15","28,276.10","","-0.13%"
"04/02/2024","28,393.90","28,361.40","28,408.40","28,257.70","","0.25%"
"04/01/2024","28,323.50","28,304.85","28,409.05","28,297.55","","0.63%"
"03/28/2024","28,146.00","27,867.90","28,382.10","27,857.25","","1.28%"
"03/27/2024","27,789.40","27,882.15","27,971.85","27,758.90","","-0.05%"
"03/26/2024","27,803.35","27,707.05","27,884.90","27,705.60","","-0.17%"
"03/22/2024","27,851.40","27,563.15","27,962.00","27,490.90","","0.75%"
"03/21/2024","27,642.85","27,547.60","27,694.05","27,521.35","","1.09%"
"03/20/2024","27,345.95","27,371.25","27,456.75","27,166.95","","0.14%"
"03/19/2024","27,308.90","27,590.65","27,616.05","27,279.10","","-1.34%"
"03/18/2024","27,680.30","27,576.70","27,739.90","27,486.95","","0.23%"
"03/15/2024","27,616.85","27,682.80","27,765.25","27,384.50","","-0.53%"
"03/14/2024","27,764.15","27,385.70","27,789.90","27,257.65","","1.15%"
"03/13/2024","27,449.00","28,187.70","28,209.35","27,272.35","","-2.37%"
"03/12/2024","28,115.55","28,278.30","28,327.05","28,057.85","","-0.55%"
"03/11/2024","28,270.40","28,475.05","28,484.60","28,233.50","","-0.45%"
